fiscal_year,service,branch,profile_id,profile,fund_type,fund,approved
2023,Blatchford Redevelopment,Blatchford Redevelopment Office,CM-83-0001,District Energy Network Strategy and District Energy Nodes,Tax-Supported Debt,Tax-Supported Debt,171000.00
2023,Blatchford Redevelopment,Blatchford Redevelopment Project,17-02-2107,Blatchford District Energy System [DES],Grants,NRCan SREPs Grant - Fed,505000.00
2023,Blatchford Redevelopment,Blatchford Redevelopment Project,17-02-2107,Blatchford District Energy System [DES],Tax-Supported Debt,Self Supporting-Tax Guaranteed,1178000.00
2023,Blatchford Redevelopment,Blatchford Redevelopment Project,14-02-2106,Blatchford Redevelopment Implementation,Retained Earnings,Blatchford Lands Retained Earnings,23230000.00
2023,Building Renewal,Infrastructure Delivery,17-99-2001,Century Place Base Bldg Rehab & Tenant Improvements,Pay-As-You-Go (PAYG),Pay-As-You-Go,205000.00
2023,Building Renewal,Infrastructure Delivery,15-75-0106,Davies Site Richard Paterson Garage Building Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,1000.00
2023,Building Renewal,Infrastructure Delivery,19-10-1101,Edmonton Convention Centre Underground Structure Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,7000.00
2023,Building Renewal,Infrastructure Delivery,15-75-0108,Mitchell Transit Garage Building Rehabilitation,Developer / Partner Financing,Partnership Funding,500000.00
2023,Building Renewal,Infrastructure Delivery,15-75-0108,Mitchell Transit Garage Building Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,-500000.00
2023,Building Renewal,Infrastructure Delivery,15-99-3030,Shaw Conference Centre Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,-10000.00
2023,Building Renewal,Infrastructure Delivery,15-75-0109,Westwood Site MES/Central Stores Building Rehabilitation,Developer / Partner Financing,Partnership Funding,498000.00
2023,Building Renewal,Infrastructure Delivery,15-75-0109,Westwood Site MES/Central Stores Building Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,-459000.00
2023,Building Renewal,Infrastructure Planning and Design,CM-75-0100,Building and Facility Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,3000.00
2023,Building Renewal,Infrastructure Planning and Design,CM-19-0000,Facilities - Minor Renewal Program,Pay-As-You-Go (PAYG),Pay-As-You-Go,369000.00
